,job,company,city,salary,data
37,.NET工程师,成都芯软科技股份公司,成都-高新区,0.9-1.5万/月,04-16
38,Web前端开发工程师,成都微矿科技有限公司,成都-武侯区,5-8千/月,04-16
39,WEB前端开发工程师(成都),广州赛意信息科技股份有限公司,成都,1-1.5万/月,04-16
40,Web前端实习生,成都云鼎丝路信息技术有限公司,成都-高新区,1.5-3千/月,04-16
41,JAVA程序员,四川赛康智能科技股份有限公司,成都-高新区,0.7-1万/月,04-16
42,资深前端开发工程师,成都深网智合科技有限公司,成都-高新区,0.8-1.2万/月,04-16
43,软件UI工程师,成都有让网络科技有限公司,成都-金牛区,6-8千/月,04-16
44,.NET/C#软件工程师,西南财经大学,成都-青羊区,0.9-1.3万/月,04-16
45,实习生软件工程,成都铭逸科技有限公司,成都-高新区,4.5-6千/月,04-16
46,应用软件开发工程师（Web前端开发）,四川九洲电器集团有限责任公司研究院,成都,0.8-1万/月,04-16
47,web前端工程师(J10045),四川天翼网络服务有限公司,成都-高新区,0.8-1.5万/月,04-16
48,Java高级开发工程师,成都数博视科技有限公司,成都-武侯区,1.2-1.6万/月,04-16
49,前端开发工程师,城云科技（中国）有限公司,成都-锦江区,1-1.5万/月,04-16
50,前端开发工程师,四川天健世纪科技有限公司,成都,5-7千/月,04-16
51,Web开发工程师,必孚（成都）科技有限公司,成都-锦江区,6-9千/月,04-16
52,.NET开发工程师,四川易保贵宾信息技术有限公司,成都-高新区,4-8千/月,04-16
53,IONIC或Framwork7前端开发工程师,广东迪特赛恩软件技术有限公司,异地招聘,0.6-1.2万/月,04-16
54,java开发工程师,四川优智胜科技有限公司,成都,6-8千/月,04-16
55,C++开发工程师,四川效率源信息安全技术股份有限公司,成都-高新区,0.8-1万/月,04-16
56,Web前端美工设计师,四川华夏博康教育科技有限公司,成都,4.5-6千/月,04-16
57,开发工程师,成都科信联创科技有限公司,成都-武侯区,0.7-1.4万/月,04-16
58,Web前端开发工程师,成都任我行软件股份有限公司,成都,0.8-1.6万/月,04-16
59,软件开发（地图应用）,中国电科第二十九研究所-中星世通...,成都-青羊区,10-15万/年,04-16
60,Web前端开发工程师,成都网信天成科技有限公司,成都-高新区,0.6-1万/月,04-16
61,Java开发工程师,四川协农农业发展有限公司,成都-金牛区,0.8-1万/月,04-16
62,Web前端开发工程师,博西尼（深圳）信息技术有限公司,成都-武侯区,4.5-6千/月,04-16
63,web前端中级设计工程师,成都大公博创信息技术有限公司,成都,0.8-1.2万/月,04-16
64,Java 软件开发工程师 （中级）,上海迈辰信息科技有限公司成都分公司,成都-高新区,0.8-1.5万/月,04-16
65,Web前端开发工程师,未来车科技成都有限公司,成都-高新区,1-1.5万/月,04-16
66,Web前端开发工程师,成都丰火新创科技有限公司,成都-双流区,0.6-1.2万/月,04-16
67,Web前端开发工程师,新千里装饰股份有限公司,成都-温江区,4.5-6千/月,04-16
68,高级JAVA软件工程师,成都慧码技术有限公司,成都-高新区,1.2-2.4万/月,04-16
69,前端开发工程师,成都通甲优博科技有限责任公司,成都-双流区,0.8-1万/月,04-16
70,新媒体（web前端）教师,电子科大科园教育中心,成都,5-7千/月,04-16
71,高级前端工程师,四川享宇金信金融科技有限公司,成都-高新区,1-1.5万/月,04-16
72,Web前端工程师-成都,北京海联捷讯科技股份有限公司,成都,0.6-1万/月,04-16
73,前端开发工程师,上海易宝软件有限公司,成都-郫都区,0.7-1.5万/月,04-16
74,计算机技术员,成都市信高工业设备安装有限责任公司,成都,3-4.5千/月,04-16
75,Web前端开发工程师,四川佳运油气技术服务有限公司,成都-高新区,0.6-1万/月,04-16
76,Web前端开发工程师,中之保金融科技（成都）有限公司,成都-武侯区,0.8-1.5万/月,04-16
77,高级WEB前端开发工程师,成都泉源堂大药房连锁股份有限公司,成都-高新区,1-1.5万/月,04-16
78,PHP开发工程师,成都益东成科技有限公司,成都-武侯区,4.5-6千/月,04-16
79,Javascript高级开发工程师,四川艾普特信息产业有限公司,成都-成华区,0.8-1.5万/月,04-16
80,高级前端开发工程师（英语要求）,四川掌上时代科技有限公司,成都,1.5-2万/月,04-16
81,Web前端开发工程师,广东良医科技有限公司,成都-锦江区,0.6-1.2万/月,04-16
82,Java开发工程师,成都乐才信息技术服务有限公司,成都-高新区,0.8-1.5万/月,04-16
83,Web前端开发,重庆一间科技有限公司,成都,0.8-1.3万/月,04-16
84,Web前端开发工程师,成都童萌时代教育科技有限责任公司,成都-高新区,0.8-1.2万/月,04-16
85,web前端开发工程师,成都百年创想科技有限公司,成都-武侯区,1-1.5万/月,04-16
86,前端开发工程师,深圳市昆特科技有限公司,成都-武侯区,0.7-1.4万/月,04-16
87,Web前端开发工程师,四川新途居文化旅游发展有限公司,成都-高新区,1-1.5万/月,04-16
88,前端开发工程师,成都我行我数科技有限公司,成都-高新区,0.8-1.5万/月,04-16
89,H5游戏前端开发,淄博东雷商贸有限公司,成都-武侯区,1.4-2.8万/月,04-16
90,前端开发工程师-成都,北京小鱼易连科技有限公司,成都-高新区,1-2万/月,04-16
91,web前端开发工程师,一想网络科技（成都）股份有限公司,成都,0.6-1.2万/月,04-16
92,高级UI设计师,南宁市迈越软件有限责任公司,成都-高新区,6-9千/月,04-16
93,HTML前端开发工程师,重庆威视真科技有限公司,成都,4-8千/月,04-16
94,高级Web工程师,普望（上海）信息咨询有限公司,成都-高新区,0.8-1.4万/月,04-16
95,J2EE架构师,成都亿嘉联创科技有限公司,成都-高新区,1-1.5万/月,04-16
96,GIS开发工程师,成都北科维拓科技有限公司,成都-高新区,1-1.8万/月,04-16
97,webGL工程师,成都小步创想慧联科技有限公司,成都-武侯区,1-1.5万/月,04-16
98,高级JAVA软件工程师,成都卫士通信息产业股份有限公司,成都-高新区,1.2-2万/月,04-16
99,Web前端开发工程师,成都志汇天下网络科技有限公司,成都-高新区,6-9千/月,04-16
